#inifile: /Users/administer/试验场/Bachelor/Data/clogging/ini_c_w0.8.xml
#Commit date: Tue Mar 5 17:20:48 2019
#Branch: Blockage
#Timestep: 0.02 (s)
#Waiting time: 0 (s)
#Parallel: 1 (1:parallel,0:unparallel)
#Direction: 0 (1:Using direction submodel,0:Not using direction submodel)
#Speed: 0 (1:Using speed submodel,0:Not using speed submodel)
#GCVM: 0 (1:Using GCVM instead of simplest model,0:Using simplest model)
#ID	time(s)	amount
252	4.56	1
1	4.86	2
253	5.2	3
151	6.66	4
302	6.7	5
152	6.96	6
4	7.74	7
105	8	8
305	8.18	9
2	10.44	10
55	10.46	11
57	10.76	12
59	11.68	13
257	12.32	14
7	12.68	15
9	12.94	16
208	13.48	17
310	13.82	18
209	14.2	19
210	17.36	20
260	17.4	21
162	18.72	22
312	19.42	23
168	19.62	24
163	19.7	25
213	20.02	26
12	20.3	27
318	20.56	28
316	22.64	29
216	23.32	30
266	23.6	31
167	24.2	32
68	24.56	33
369	25.4	34
70	25.66	35
221	26.56	36
220	26.74	37
120	27.26	38
273	28.28	39
321	28.52	40
270	28.7	41
272	28.78	42
171	29.08	43
372	29.16	44
225	29.26	45
376	32.02	46
26	33.24	47
128	33.28	48
379	33.46	49
28	33.54	50
181	35.52	51
278	36.56	52
180	37.08	53
183	38.2	54
229	38.34	55
330	38.52	56
230	38.7	57
82	38.98	58
283	39.82	59
137	40.4	60
282	40.66	61
233	40.68	62
238	41.02	63
235	42.48	64
334	42.58	65
234	43.3	66
94	45.42	67
289	47.02	68
41	47.36	69
40	48.72	70
142	49.18	71
144	49.5	72
190	51.54	73
91	51.7	74
93	54.4	75
193	55.68	76
297	55.78	77
47	56.26	78
194	56.98	79
295	57.68	80
397	58.28	81
348	59.56	82
98	60.2	83
347	60.24	84
