#inifile: /Users/administer/试验场/Bachelor/Data/clogging/ini_c_w08.xml
#Commit date: Tue Mar 5 17:20:48 2019
#Branch: Blockage
#Timestep: 0.02 (s)
#Waiting time: 0 (s)
#Parallel: 1 (1:parallel,0:unparallel)
#Direction: 0 (1:Using direction submodel,0:Not using direction submodel)
#Speed: 0 (1:Using speed submodel,0:Not using speed submodel)
#GCVM: 0 (1:Using GCVM instead of simplest model,0:Using simplest model)
#ID	time(s)	amount
151	0.82	1
251	4.22	2
152	6.6	3
203	8.76	4
205	8.86	5
153	10.58	6
56	12.58	7
156	12.7	8
54	13.8	9
106	14.9	10
108	14.9	11
107	15.34	12
9	15.74	13
63	16.16	14
60	16.22	15
260	16.56	16
6	16.62	17
59	17.56	18
160	18.12	19
10	18.16	20
359	18.18	21
261	18.56	22
118	18.82	23
13	19.5	24
314	19.92	25
113	19.96	26
116	20.62	27
363	20.64	28
115	20.96	29
64	21.1	30
15	21.54	31
367	21.9	32
217	22.1	33
216	22.4	34
318	22.88	35
168	24.4	36
219	25.4	37
75	26.36	38
124	26.38	39
68	26.42	40
71	26.52	41
220	26.72	42
21	26.86	43
125	27.02	44
20	27.4	45
74	27.5	46
372	27.54	47
25	27.56	48
321	27.6	49
221	27.96	50
223	28.12	51
22	28.32	52
374	28.94	53
224	29.36	54
275	29.62	55
176	30.28	56
225	30.3	57
272	30.78	58
276	31.36	59
28	32	60
27	32.38	61
229	32.6	62
26	32.86	63
30	34.02	64
228	35.58	65
183	36.84	66
331	38.04	67
182	38.04	68
184	38.54	69
283	39.1	70
188	41.22	71
37	41.36	72
384	41.64	73
186	41.74	74
336	43.16	75
36	43.66	76
41	43.94	77
288	46.4	78
237	46.68	79
43	48.88	80
94	48.98	81
242	49.22	82
343	49.44	83
193	49.96	84
141	50.08	85
244	50.46	86
142	50.5	87
96	51.06	88
396	51.62	89
295	52	90
245	52.48	91
48	52.84	92
144	53.32	93
345	53.66	94
50	54.28	95
97	54.44	96
297	56.6	97
248	56.78	98
196	57.82	99
