#inifile: /Users/administer/试验场/Bachelor/Data/clogging/inifile_clogging_w0.8.xml
#Commit date: Tue Mar 5 17:20:48 2019
#Branch: Blockage
#Timestep: 0.02 (s)
#Waiting time: 0 (s)
#Parallel: 1 (1:parallel,0:unparallel)
#Direction: 0 (1:Using direction submodel,0:Not using direction submodel)
#Speed: 0 (1:Using speed submodel,0:Not using speed submodel)
#GCVM: 0 (1:Using GCVM instead of simplest model,0:Using simplest model)
#ID	time(s)	amount
1	4.84	1
151	5.9	2
352	7.02	3
251	7.1	4
53	7.34	5
4	7.98	6
304	9.96	7
101	10.26	8
204	10.68	9
103	10.72	10
256	10.8	11
107	10.9	12
105	11.36	13
57	12.1	14
209	14.28	15
9	14.92	16
12	15.04	17
259	15.74	18
261	16.52	19
161	16.62	20
163	16.76	21
263	17.46	22
11	18	23
365	21.5	24
115	22.4	25
267	22.66	26
13	23.34	27
65	23.62	28
317	23.66	29
368	23.82	30
117	24.54	31
223	24.58	32
68	24.74	33
18	25.24	34
270	25.38	35
118	25.4	36
320	25.42	37
71	25.7	38
17	26.08	39
170	26.46	40
171	26.84	41
75	28.54	42
374	28.96	43
176	29.14	44
73	29.98	45
27	30.76	46
224	31.18	47
23	31.94	48
125	32.16	49
227	33.62	50
330	33.72	51
178	33.92	52
229	35.32	53
76	35.56	54
127	35.64	55
279	36.14	56
78	36.24	57
79	36.38	58
82	39.6	59
231	39.64	60
281	39.74	61
333	39.84	62
233	40.2	63
81	40.92	64
131	41.26	65
336	41.36	66
385	42.2	67
287	42.72	68
335	42.74	69
182	42.96	70
286	43.24	71
391	43.72	72
85	43.88	73
137	44.06	74
87	44.48	75
237	44.64	76
184	44.8	77
86	44.88	78
89	45.14	79
387	45.66	80
140	46	81
191	46.18	82
389	46.68	83
288	46.76	84
341	47.2	85
90	47.26	86
236	47.8	87
291	48.02	88
242	48.36	89
289	48.44	90
243	49.82	91
192	50.5	92
240	50.8	93
141	51.84	94
95	52.22	95
144	52.78	96
93	52.86	97
248	52.94	98
145	53.7	99
350	54.94	100
48	55.76	101
397	56.38	102
195	56.6	103
249	57.18	104
347	58.02	105
