#inifile: /Users/administer/试验场/Bachelor/Data/clogging/width_change/inifile_clogging_w0.8.xml
#Commit date: Tue Mar 5 17:20:48 2019
#Branch: Blockage
#Timestep: 0.02 (s)
#Waiting time: 0 (s)
#Parallel: 1 (1:parallel,0:unparallel)
#Direction: 0 (1:Using direction submodel,0:Not using direction submodel)
#Speed: 0 (1:Using speed submodel,0:Not using speed submodel)
#GCVM: 0 (1:Using GCVM instead of simplest model,0:Using simplest model)
#ID	time(s)	amount
103	4.36	1
1	4.9	2
151	5.96	3
4	7.94	4
55	8.54	5
155	9.68	6
254	11.9	7
260	12.16	8
157	13.26	9
8	13.36	10
110	13.62	11
5	13.98	12
107	14.4	13
258	14.4	14
59	14.4	15
360	14.48	16
158	15.06	17
210	16.14	18
13	16.96	19
211	17.16	20
11	17.48	21
61	18.22	22
316	19.06	23
116	19.12	24
112	19.52	25
15	19.62	26
117	21.48	27
364	21.7	28
265	21.96	29
63	22.06	30
65	22.48	31
68	23.1	32
18	23.18	33
266	24.22	34
318	24.66	35
222	25.1	36
19	26.16	37
372	26.84	38
21	27.54	39
371	27.76	40
23	28.04	41
221	28.92	42
275	29.2	43
276	29.28	44
77	31.04	45
377	31.24	46
125	32.1	47
277	33.2	48
26	33.62	49
179	34.4	50
227	34.8	51
128	34.82	52
130	35.2	53
127	35.34	54
132	35.92	55
281	37.06	56
32	37.48	57
381	37.7	58
283	38.46	59
232	38.64	60
285	39.42	61
335	40.72	62
284	41.9	63
37	41.9	64
238	42.54	65
336	42.94	66
235	43.02	67
134	43.38	68
339	43.7	69
237	44.32	70
239	44.36	71
86	45.04	72
288	45.08	73
39	47.06	74
289	48.26	75
390	48.26	76
38	48.58	77
44	50.46	78
192	50.58	79
346	51.02	80
144	51.4	81
145	51.42	82
96	51.52	83
42	52.1	84
243	52.16	85
247	52.22	86
344	52.4	87
345	52.56	88
195	52.74	89
43	53.06	90
