#inifile: /Users/administer/Bachelor/Bachelor/Data/clogging/width_change/inifile_clogging_w2.0.xml
#Timestep: 0.02 (s)
#Waiting time: 0 (s)
#Parallel: 1 (1:parallel,0:unparallel)
#ID	time(s)	amount
251	4.06	1
2	7.74	2
7	7.84	3
356	10.94	4
207	11.38	5
109	11.66	6
108	11.7	7
358	11.8	8
10	12.86	9
310	14.4	10
110	14.46	11
15	17.14	12
13	18.6	13
365	20.8	14
271	24.5	15
173	25.08	16
223	26.96	17
325	27.46	18
23	27.88	19
24	28.74	20
29	31.6	21
329	34.1	22
131	34.64	23
332	35.58	24
87	39.24	25
385	40.4	26
237	41.06	27
238	41.32	28
236	41.66	29
389	41.78	30
289	43.32	31
193	44.76	32
41	44.78	33
293	48.08	34
392	48.58	35
243	49.02	36
294	49.12	37
