#inifile: /Users/administer/Bachelor/Bachelor/Data/clogging/width_change/inifile_cloggingW1.5.xml
#Timestep: 0.02 (s)
#Waiting time: 0 (s)
#Parallel: 1 (1:parallel,0:unparallel)
#ID	time(s)	amount
52	6.88	1
206	7.96	2
355	8.4	3
2	8.6	4
103	8.64	5
105	9.86	6
58	11.86	7
360	15.36	8
311	15.48	9
11	16.5	10
111	16.9	11
209	16.96	12
113	17.56	13
216	18.44	14
163	19.02	15
62	19.06	16
114	19.5	17
115	19.86	18
66	20.28	19
117	20.42	20
166	20.96	21
116	22.18	22
219	22.48	23
320	23.5	24
119	23.92	25
269	24.68	26
171	25.14	27
323	26.68	28
274	27.88	29
124	28.08	30
174	28.66	31
77	31.82	32
226	32.08	33
278	32.48	34
277	32.82	35
128	33.52	36
232	33.8	37
80	34.22	38
32	34.68	39
132	35.06	40
331	35.68	41
384	37.32	42
335	38.76	43
185	40.5	44
139	43.12	45
86	44.84	46
92	46.44	47
288	46.46	48
292	47.78	49
291	48.92	50
93	50.26	51
45	50.5	52
47	51.78	53
198	53.1	54
147	53.44	55
297	53.88	56
248	54.9	57
349	55.9	58
