#inifile: /Users/administer/Bachelor/Bachelor/Data/clogging/width_change/inifile_cloggingw_1.0.xml
#Timestep: 0.02 (s)
#Waiting time: 0 (s)
#Parallel: 1 (1:parallel,0:unparallel)
#ID	time(s)	amount
151	6.1	1
53	6.68	2
2	7.32	3
253	7.42	4
302	7.46	5
104	8.24	6
254	8.86	7
257	10.4	8
155	10.44	9
359	11.6	10
8	13.48	11
112	13.64	12
161	14.04	13
258	15.2	14
213	16.86	15
62	18.8	16
64	19.14	17
365	19.24	18
63	19.56	19
166	20.1	20
219	20.2	21
115	20.58	22
315	20.94	23
68	21.86	24
266	22.12	25
217	22.16	26
320	22.5	27
67	23.36	28
17	23.54	29
269	24.38	30
22	25.06	31
20	25.26	32
75	25.64	33
272	25.72	34
275	28.78	35
376	28.92	36
25	29.26	37
225	29.7	38
277	31.32	39
327	31.74	40
379	31.82	41
125	32.48	42
31	33.5	43
79	33.96	44
229	34.34	45
131	34.88	46
380	35.46	47
32	35.5	48
283	36.46	49
133	37.48	50
82	38.1	51
231	39.5	52
36	39.96	53
384	40.38	54
334	40.62	55
88	44.56	56
288	44.9	57
185	45.32	58
339	46.18	59
40	47.14	60
244	47.2	61
39	47.28	62
142	47.64	63
341	48.46	64
45	48.94	65
94	49.5	66
293	49.58	67
91	50.08	68
194	50.38	69
297	50.98	70
41	51.22	71
145	51.3	72
44	51.8	73
248	52.04	74
246	52.44	75
98	55.02	76
48	55.62	77
347	56	78
298	56.2	79
